auroc,npv,ppv,recall,specificity
0.400339491,0.705,0.2066,0.2351,0.6694
0.424304784,0.7322,0.1957,0.1813,0.7503
0.456364557,0.7443,0.2142,0.1669,0.7984
0.493071442,0.7538,0.2419,0.167,0.8297
0.527939252,0.7612,0.2639,0.1722,0.846
0.56015869,0.7694,0.277,0.1781,0.8551
0.587878801,0.7726,0.3015,0.191,0.8614
0.615834776,0.776,0.3283,0.2035,0.8688
0.635145926,0.7794,0.3556,0.2185,0.8746
0.654918978,0.7847,0.3819,0.2389,0.8777
0.670966558,0.788,0.4039,0.2598,0.8777
0.685302624,0.7921,0.4212,0.2788,0.8776
0.698785991,0.7973,0.4425,0.3018,0.8784
0.712471711,0.8018,0.4601,0.3196,0.8801
0.721335659,0.8063,0.4704,0.336,0.8796
0.729891738,0.8094,0.4809,0.3519,0.8787
0.736210131,0.8123,0.4886,0.3657,0.8777
0.741429022,0.8147,0.4935,0.3761,0.8766
0.749976608,0.8177,0.5061,0.3922,0.877
0.755329691,0.8204,0.5102,0.3992,0.8775
